Kabupaten_Kota,Tanggal,RF_Pred,LGBM_Pred,Blended_Pred
Kabupaten Bangkalan,2025-01-01,3819.542050000002,8299.619361936107,6059.580705968055
Kabupaten Bangkalan,2025-02-01,9530.6049,8962.635534870997,9246.620217435498
Kabupaten Bangkalan,2025-03-01,48513.45849999999,50984.78779807683,49749.12314903841
Kabupaten Bangkalan,2025-04-01,44315.649699999994,33812.30006698369,39063.97488349184
Kabupaten Bangkalan,2025-05-01,10957.528899999998,8857.082649371234,9907.305774685616
Kabupaten Bangkalan,2025-06-01,6889.4184000000005,4944.6852488660925,5917.051824433047
Kabupaten Bangkalan,2025-07-01,32398.94799999999,26564.17718646854,29481.562593234266
Kabupaten Bangkalan,2025-08-01,19808.829500000007,22226.927945051328,21017.878722525667
Kabupaten Bangkalan,2025-09-01,4990.593199999999,4408.108404287319,4699.350802143659
Kabupaten Bangkalan,2025-10-01,3483.121599999999,900.9124050562448,2192.017002528122
Kabupaten Bangkalan,2025-11-01,2128.5512000000003,980.0841452684925,1554.3176726342465
Kabupaten Bangkalan,2025-12-01,4575.3773,7072.376277609732,5823.876788804866
Kabupaten Banyuwangi,2025-01-01,25202.335000000006,26052.49572327778,25627.415361638894
Kabupaten Banyuwangi,2025-02-01,22730.74060000001,14948.766383112783,18839.753491556396
Kabupaten Banyuwangi,2025-03-01,24093.370700000003,32832.012154386044,28462.69142719302
Kabupaten Banyuwangi,2025-04-01,61435.534400000004,52590.21656032944,57012.87548016472
Kabupaten Banyuwangi,2025-05-01,50840.3749,48487.14175737173,49663.75832868587
Kabupaten Banyuwangi,2025-06-01,23395.053,23034.96712515849,23215.010062579247
Kabupaten Banyuwangi,2025-07-01,9673.939700000006,11065.37720169967,10369.658450849838
Kabupaten Banyuwangi,2025-08-01,22882.394599999996,22669.528594922795,22775.961597461395
Kabupaten Banyuwangi,2025-09-01,59821.131599999986,40676.65226809,50248.891934044994
Kabupaten Banyuwangi,2025-10-01,51155.924599999984,33330.74728947989,42243.33594473994
Kabupaten Banyuwangi,2025-11-01,22289.131199999993,20086.275104327375,21187.70315216368
Kabupaten Banyuwangi,2025-12-01,17002.760899999994,17753.210540043492,17377.985720021745
